ATS,Building_C,Location_C,Name,Geographic,Latitude,Longitude,latitude,longitude
84M080,M056,M080,Manhattan Charter School II,1,40.713362,-73.986051,4970154.115800001,-8236089.5231
84M085,M838,M085,Global Community Charter School,5,40.81698,-73.934951,4985383.6206,-8230401.097100001
84M100,MBTS,M100,Neighborhood Charter School of Harlem,6,40.823676,-73.945427,4986368.598899998,-8231567.280099999
84M168,M013,M168,East Harlem Scholars Academy Charter School II,4,40.793649,-73.948488,4981952.418399997,-8231908.029100001
84M170,M625,M170,Success Academy Charter School - Hell's Kitchen,2,40.763655,-73.990318,4977543.085000001,-8236564.523399999
84M174,M460,M174,Success Academy Charter School - Union Square,2,40.735361,-73.987064,4973385.487300001,-8236202.289799999
84M186,MAQE,M186,Harlem Hebrew Language Academy Charter School,3,40.804559,-73.952751,4983556.760799997,-8232382.584100001
84M202,MAFN,M202,Great Oaks Charter School,2,40.730564,-74.0029,4972680.778300002,-8237965.145199999
84M204,MCDT,M204,Capital Preparatory Harlem Charter School,5,40.808339,-73.938735,4984112.680699997,-8230822.3301
84M263,MBNS,M263,New York City Charter School of the Arts,2,40.705688,-74.013303,4969027.154600002,-8239123.2019
84M265,M387,M265,Success Academy Charter School - Washington Height,6,40.85765,-73.935231,4991367.6906,-8230432.2666
84M279,M113,M279,Opportunity Charter School,3,40.801573,-73.955583,4983117.636,-8232697.8409
84M284,M908,M284,Harlem Children's Zone Promise Academy Charter Sch,5,40.811882,-73.947317,4984633.7739999965,-8231777.674000001
84M295,MAHR,M295,School in the Square Public Charter School,6,40.848864,-73.936073,4990074.632200003,-8230525.9976
84M320,M142,M320,Manhattan Charter School,1,40.718121,-73.984116,4970853.061399996,-8235874.119899999
84M329,M208,M329,Harlem Link Charter School,3,40.798461,-73.950146,4982660.002400003,-8232092.5967999995
84M330,M060,M330,Girls Preparatory Charter School of New York,1,40.729152,-73.982472,4972473.356399998,-8235691.1107
84M335,M045,M335,Harlem Village Academy East Charter School,4,40.799265,-73.93374,4982778.2321000025,-8230266.2892
84M336,M195,M336,KIPP Infinity Charter School,5,40.819793,-73.956814,4985797.399400003,-8232834.8752
84M337,M050,M337,NYC Autism Charter School East Harlem,4,40.785559,-73.940919,4980762.934199996,-8231065.4519
84M338,MCCF,M338,WHIN Music Community Charter School,6,40.837994,-73.939921,4988475.103399999,-8230954.355
84M341,MANO,M341,Harlem Children's Zone Promise Academy II Charter,5,40.806139,-73.940871,4983789.125600003,-8231060.1085
84M350,M197,M350,Democracy Preparatory Charter School,5,40.813532,-73.938347,4984876.4602999985,-8230779.1381
84M351,M149,M351,Success Academy Charter School - Harlem 1,3,40.802649,-73.948088,4983275.871600002,-8231863.5013
84M353,MANN,M353,New Heights Academy Charter School,6,40.82884,-73.945368,4987128.288699999,-8231560.712300001
84M357,M389,M357,Success Academy Charter School - Harlem 6,5,40.816158,-73.95357,4985262.711599998,-8232473.7546999995
84M358,MBMO,M358,Success Academy Charter School - Hudson Yards,2,40.758759,-73.996499,4976823.5266999975,-8237252.589199999
84M373,MCFC,M373,Zeta Charter Schools - Inwood,6,40.871132,-73.911924,4993352.2051,-8227837.7432
84M380,MAGD,M380,Harlem Village Academy West 2 Charter School,5,40.80669,-73.945603,4983870.160400003,-8231586.872400001
84M382,MBMF,M382,DREAM Charter School East Harlem,4,40.789174,-73.945101,4981294.434900001,-8231530.99
84M383,MABT,M383,Storefront Academy Harlem Charter School,5,40.807581,-73.937717,4984001.200000003,-8230709.006899999
84M384,M030,M384,Success Academy Charter School - Harlem 2,5,40.805653,-73.935461,4983717.650799997,-8230457.870100001
84M385,M099,M385,Success Academy Charter School - Harlem 3,4,40.785107,-73.942154,4980696.480300002,-8231202.931399999
84M386,M113,M386,Success Academy Charter School - Harlem 4,3,40.801573,-73.955583,4983117.636,-8232697.8409
84M387,MAHU,M387,American Dream Charter School II,6,40.82477,-73.945776,4986529.5352,-8231606.1306
84M388,M092,M388,St. HOPE Leadership Academy Charter School,5,40.814917,-73.945838,4985080.1743,-8231613.032400001
84M389,MACU,M389,KIPP Beyond Charter School,3,40.811107,-73.960761,4984519.7870000005,-8233274.2532
84M390,MAFI,M390,Amber Charter School Inwood,6,40.87028,-73.91754,4993226.781000003,-8228462.9135
84M430,MBTN,M430,The Equity Project Charter School,6,40.864644,-73.923094,4992397.138300002,-8229081.1819
84M433,M099,M433,Innovation Charter High School,4,40.785107,-73.942154,4980696.480300002,-8231202.931399999
84M478,MBTQ,M478,Inwood Academy for Leadership Charter School,6,40.865508,-73.918591,4992524.3182,-8228579.9103
84M481,MAYS,M481,Democracy Preparatory Harlem Charter School,5,40.814598,-73.945,4985033.2535,-8231519.7467
84M482,M123,M482,Success Academy Charter School - Harlem 5,5,40.820216,-73.944551,4985859.622199997,-8231469.7643
84M483,MAVC,M483,New York French-American Charter School,3,40.807537,-73.954228,4983994.7289,-8232547.0030000005
